LevelID,XPReq,RewardBundleID,SCItemLimit,SCCrewLimit,VictoryTokenLimit,ShopID,QuestRewardMultiplier,BattleRewardMultiplier,DailyWageSCItem,DailyWageSCCrew,HeroIcon,ClientUnlocks,Unlocks
1,0,CAPTAIN_LEVEL_1_STARTING_BALANCE,200000,150000,15,SHOP_LEVEL_1,1,0.462,0,0,,,
2,35,CAPTAIN_LEVEL_2,225000,160000,15,SHOP_LEVEL_1,1,0.5082,0,0,ui/battle_rewards_increase,,
3,90,CAPTAIN_LEVEL_3,250000,170000,15,SHOP_LEVEL_3,1,0.5591,0,0,ui/battle_rewards_increase,,
4,180,CAPTAIN_LEVEL_4,275000,180000,15,SHOP_LEVEL_4,1,0.6098,0,0,ui/battle_rewards_increase,,TALENTS
5,270,CAPTAIN_LEVEL_5,300000,190000,15,SHOP_LEVEL_5,1.25,0.6403,0,0,ui/icon_resourcebox_increase,EVENTS,
6,450,CAPTAIN_LEVEL_6,325000,200000,15,SHOP_LEVEL_6,1.375,0.7043,0,0,ui/quest_rewards_increase,,
7,630,CAPTAIN_LEVEL_7,350000,230000,15,SHOP_LEVEL_7,1.4438,0.7747,0,0,items/item_premium_pearl_box,,
8,900,CAPTAIN_LEVEL_8,400000,260000,15,SHOP_LEVEL_8,1.5882,0.8134,0,0,ui/quest_rewards_increase,CUSTOM_BATTLE,
9,1265,CAPTAIN_LEVEL_9,450000,280000,15,SHOP_LEVEL_9,1.6676,0.9761,0,0,ui/icon_battlebox_increase,,
10,1625,CAPTAIN_LEVEL_10,550000,300000,15,SHOP_LEVEL_10,2.0845,1.0249,0,0,ui/icon_resourcebox_increase2,,
11,2000,CAPTAIN_LEVEL_11,650000,320000,15,SHOP_LEVEL_11,2.1887,1.0761,0,0,ui/icon_resourcebox_increase,,
12,2400,CAPTAIN_LEVEL_12,700000,340000,15,SHOP_LEVEL_11,2.4076,1.1299,0,0,items/item_premium_pearl_box,,
13,2800,CAPTAIN_LEVEL_13,800000,360000,15,SHOP_LEVEL_11,2.6484,1.1299,0,0,ui/quest_rewards_increase,,
14,3300,CAPTAIN_LEVEL_14,850000,380000,15,SHOP_LEVEL_11,2.9132,1.1864,0,0,ui/quest_rewards_increase,,
15,3800,CAPTAIN_LEVEL_15,900000,400000,15,SHOP_LEVEL_15,2.9132,1.2457,0,0,ui/icon_resourcebox_increase,,
