ID,TextID,Description,Objectives,ObjectiveOperation,,
1,STEP_DESTROY_SHOOTER_SPEEDER_ENFORCER,,OBJECTIVE_DESTROY_1_CANNON_SHIP,OBJECTIVE_DESTROY_1_SPEED_SHIP,OBJECTIVE_DESTROY_1_CONTROL_SHIP,AND
2,STEP_DESTROY_SHOOTER_SPEEDER_DEFENDER,,OBJECTIVE_DESTROY_1_CANNON_SHIP,OBJECTIVE_DESTROY_1_SPEED_SHIP,OBJECTIVE_DESTROY_1_TANK_SHIP,AND
3,STEP_DESTROY_SHOOTER_SPEEDER_FIXER,,OBJECTIVE_DESTROY_1_CANNON_SHIP,OBJECTIVE_DESTROY_1_SPEED_SHIP,OBJECTIVE_DESTROY_1_HEALING_SHIP,AND
4,STEP_DESTROY_SHOOTER_ENFORCER_DEFENDER,,OBJECTIVE_DESTROY_1_CANNON_SHIP,OBJECTIVE_DESTROY_1_CONTROL_SHIP,OBJECTIVE_DESTROY_1_TANK_SHIP,AND
5,STEP_DESTROY_SHOOTER_ENFORCER_FIXER,,OBJECTIVE_DESTROY_1_CANNON_SHIP,OBJECTIVE_DESTROY_1_CONTROL_SHIP,OBJECTIVE_DESTROY_1_HEALING_SHIP,AND
6,STEP_DESTROY_SHOOTER_DEFENDER_FIXER,,OBJECTIVE_DESTROY_1_CANNON_SHIP,OBJECTIVE_DESTROY_1_TANK_SHIP,OBJECTIVE_DESTROY_1_HEALING_SHIP,AND
7,STEP_DESTROY_SPEEDER_ENFORCER_DEFENDER,,OBJECTIVE_DESTROY_1_SPEED_SHIP,OBJECTIVE_DESTROY_1_CONTROL_SHIP,OBJECTIVE_DESTROY_1_TANK_SHIP,AND
8,STEP_DESTROY_SPEEDER_ENFORCER_FIXER,,OBJECTIVE_DESTROY_1_SPEED_SHIP,OBJECTIVE_DESTROY_1_CONTROL_SHIP,OBJECTIVE_DESTROY_1_HEALING_SHIP,AND
9,STEP_DESTROY_SPEEDER_DEFENDER_FIXER,,OBJECTIVE_DESTROY_1_SPEED_SHIP,OBJECTIVE_DESTROY_1_TANK_SHIP,OBJECTIVE_DESTROY_1_HEALING_SHIP,AND
10,STEP_DESTROY_ENFORCER_DEFENDER_FIXER,,OBJECTIVE_DESTROY_1_CONTROL_SHIP,OBJECTIVE_DESTROY_1_TANK_SHIP,OBJECTIVE_DESTROY_1_HEALING_SHIP,AND
11,STEP_DEAL_1000_DAMAGE,QUEST_STEP_DEAL_DAMAGE,OBJECTIVE_DEAL_1000_DAMAGE,AND,,
12,STEP_DESTROY_5_SHIPS,QUEST_STEP_DESTROY_SHIPS,OBJECTIVE_DESTROY_5_SHIPS,AND,,
13,STEP_EARN_10_BATTLESTARS,QUEST_STEP_EARN_BATTLESTARS,OBJECTIVE_EARN_10_BATTLESTARS,AND,,
14,STEP_FIGHT_5_BATTLES,QUEST_STEP_FIGHT_BATTLES,OBJECTIVE_FIGHT_5_BATTLES,AND,,
15,STEP_WIN_3_BATTLES,QUEST_STEP_WIN_BATTLES,OBJECTIVE_WIN_3_BATTLES,AND,,
16,STEP_CANNONSHIP_VICTORY,QUEST_STEP_SHIP_WIN,OBJECTIVE_CANNONSHIP_VICTORY,AND,,
17,STEP_SPEEDBOAT_VICTORY,QUEST_STEP_SHIP_WIN,OBJECTIVE_SPEEDBOAT_VICTORY,AND,,
18,STEP_STINKY_VICTORY,QUEST_STEP_SHIP_WIN,OBJECTIVE_STINKY_VICTORY,AND,,
19,STEP_TANK_VICTORY,QUEST_STEP_SHIP_WIN,OBJECTIVE_TANK_VICTORY,AND,,
20,STEP_HEALER_VICTORY,QUEST_STEP_SHIP_WIN,OBJECTIVE_HEALER_VICTORY,AND,,
21,STEP_DEAL_10000_DAMAGE,QUEST_STEP_DEAL_DAMAGE,OBJECTIVE_DEAL_10000_DAMAGE,AND,,
22,STEP_DEAL_13000_DAMAGE,QUEST_STEP_DEAL_DAMAGE,OBJECTIVE_DEAL_13000_DAMAGE,AND,,
23,STEP_DEAL_18000_DAMAGE,QUEST_STEP_DEAL_DAMAGE,OBJECTIVE_DEAL_18000_DAMAGE,AND,,
24,STEP_DEAL_22000_DAMAGE,QUEST_STEP_DEAL_DAMAGE,OBJECTIVE_DEAL_22000_DAMAGE,AND,,
