IDText,Level,CaptainRequirement,XP,TrainingTime,Price,Currency,Talents,AchievementID,,
CANNONEER,1,1,0,0,500,SC_CREW,STANDARD_CANNON_DAMAGE_M_20,CANNONEER,,
CANNONEER,2,1,20,180,1000,SC_CREW,CANNON_DAMAGE_A_5,CANNONEER,,
CANNONEER,3,2,40,1200,2000,SC_CREW,CANNON_DAMAGE_A_10,SHIP_HITPOINTS_A_50,CANNONEER,
CANNONEER,4,2,50,600,6000,SC_CREW,CANNON_RANGE_M_5,STANDARD_CANNON_COOLDOWN_M_10,CANNONEER,
CANNONEER,5,3,80,1200,20000,SC_CREW,BLAST_CANNON_DAMAGE_M_10,SNIPER_CANNON_DAMAGE_M_10,CANNONEER,
CANNONEER,6,4,100,300,8000,SC_CREW,CANNON_SPEED_M_10,BOX_RESOURCE_BONUS_M_5,CANNONEER,
CANNONEER,7,5,150,1200,10000,SC_CREW,CANNON_SHIP_HITPOINTS_A_50,CANNONEER,,
CANNONEER,8,5,200,43200,65000,SC_CREW,CANNONEER_EVO_2,CANNONEER,,
CANNONEER,9,6,300,28800,45000,SC_CREW,SHIP_HITPOINTS_A_50,CANNON_DAMAGE_M_5,CANNONEER,
CANNONEER,10,7,600,36000,60000,SC_CREW,SNIPER_CANNON_DAMAGE_M_10,BLAST_CANNON_DAMAGE_M_10,CANNONEER,
CANNONEER,11,9,1500,54000,100000,SC_CREW,BLAST_CANNON_DAMAGE_M_10,SNIPER_CANNON_CRIT_M_5,CANNONEER,
CANNONEER,12,12,3000,93600,125000,SC_CREW,CANNON_SHIP_HITPOINTS_M_5,BOX_RESOURCE_BONUS_M_5,CANNONEER,
CANNONEER,13,18,3500,100800,150000,SC_CREW,CANNON_SPEED_M_10,BOX_RESOURCE_BONUS_M_5,CANNONEER,
CANNONEER,14,18,4000,111600,180000,SC_CREW,CANNONEER_EVO_3,CANNONEER,,
CANNONEER,15,23,4500,118800,330000,SC_CREW,CANNON_DAMAGE_TO_BURNING_M_5,BLAST_CANNON_DAMAGE_M_10,CANNONEER,
CANNONEER,16,24,5000,144000,480000,SC_CREW,SNIPER_CANNON_CRIT_DAMAGE_M_25,STANDARD_CANNON_COOLDOWN_M_10,CANNONEER,
CANNONEER,17,25,5500,183600,635000,SC_CREW,SNIPER_CANNON_CRIT_DAMAGE_M_25,CANNON_DAMAGE_TO_BURNING_M_5,CANNONEER,
CANNONEER,18,25,6000,158400,670000,SC_CREW,CANNON_RANGE_M_5,SNIPER_CANNON_CRIT_M_5,CANNONEER,
CANNONEER,19,26,6500,172800,710000,SC_CREW,CANNON_DAMAGE_M_5,BLAST_CANNON_DAMAGE_M_10,CANNONEER,
CANNONEER,20,27,7000,198000,850000,SC_CREW,CANNONEER_EVO_4,CANNONEER,,
CANNONEER,21,29,7500,212400,920000,SC_CREW,XPLO_CANNON_DAMAGE_M_20,CANNONEER,,
CANNONEER,22,30,8000,237600,1000000,SC_CREW,CANNON_SPEED_M_10,STANDARD_CANNON_DAMAGE_M_15,CANNONEER,
CANNONEER,23,31,8500,252000,1050000,SC_CREW,CANNON_DAMAGE_TO_BURNING_M_5,STANDARD_CANNON_COOLDOWN_M_10,EXPLOSION_CANNON_DAMAGE_M_10,CANNONEER
CANNONEER,24,31,9000,270000,1150000,SC_CREW,WEAPON_DAMAGE_M_1,CANNONEER,,
CANNONEER,25,31,10000,302400,1250000,SC_CREW,CANNON_SHIP_HITPOINTS_M_5,BLAST_CANNON_DAMAGE_M_10,EXPLOSION_CANNON_DAMAGE_M_10,CANNONEER
CANNONEER,26,31,11000,345600,1500000,SC_CREW,CANNON_DAMAGE_TO_BURNING_M_5,BOX_RESOURCE_BONUS_M_5,CANNONEER,
CANNONEER,27,35,12000,374400,1625000,SC_CREW,CANNON_SPEED_M_10,BOX_RESOURCE_BONUS_M_5,EXPLOSION_CANNON_DAMAGE_M_10,CANNONEER
CANNONEER,28,35,13000,432000,1750000,SC_CREW,CANNONEER_EVO_5,CANNONEER,,
CANNONEER,29,35,14000,547200,1875000,SC_CREW,CANNON_DAMAGE_TO_BURNING_M_5,CANNONEER,,
CANNONEER,30,35,15000,604800,2000000,SC_CREW,POINT_DAMAGE_M_5,CANNONEER,,
SAILOR,1,5,20,600,1950,SC_CREW,TURBO_EFFECT_M_20,SAILOR,,
SAILOR,2,5,40,600,3900,SC_CREW,SPEED_SHIP_HITPOINTS_A_50,BOX_RESOURCE_BONUS_M_5,SAILOR,
SAILOR,3,5,40,600,5800,SC_CREW,OVERBOOST_EFFECT_M_10,NITRO_EFFECT_M_10,SAILOR,
SAILOR,4,5,50,1200,19500,SC_CREW,CARRONADE_DAMAGE_M_20,SAILOR,,
SAILOR,5,5,80,1800,7800,SC_CREW,SHIP_SPEED_M_5,CARRONADE_DAMAGE_M_5,SAILOR,
SAILOR,6,5,120,28800,9000,SC_CREW,CARRONADE_PROJECTILE_A_1,NITRO_COOLDOWN_M_10,SAILOR,
SAILOR,7,6,200,10800,18000,SC_CREW,SPEED_SHIP_HITPOINTS_A_50,SAILOR,,
SAILOR,8,7,200,32400,75000,SC_CREW,SAILOR_EVO_2,SAILOR,,
SAILOR,9,10,300,36000,35000,SC_CREW,CARRONADE_PROJECTILE_A_1,OVERBOOST_EFFECT_M_10,SAILOR,
SAILOR,10,10,400,43200,50000,SC_CREW,CARRONADE_RANGE_A_1,SAILOR,,
SAILOR,11,10,1500,64800,90000,SC_CREW,CARRONADE_PROJECTILE_A_1,BOX_RESOURCE_BONUS_M_5,SPEED_SHIP_SPEED_M_10,SAILOR
SAILOR,12,13,3000,82800,140000,SC_CREW,CARRONADE_SHIP_SLOW,SHIP_SPEED_M_5,SAILOR,
SAILOR,13,19,3500,100800,170000,SC_CREW,CARRONADE_RANGE_A_1,SAILOR,,
SAILOR,14,20,4000,111600,260000,SC_CREW,SAILOR_EVO_3,SAILOR,,
SAILOR,15,22,4500,118800,390000,SC_CREW,OVERBOOST_EFFECT_M_10,NITRO_EFFECT_M_10,SAILOR,
SAILOR,16,22,5000,129600,470000,SC_CREW,SPEED_SHIP_SPEED_M_10,CARRONADE_SHIP_SLOW_A_10,SAILOR,
SAILOR,17,26,5500,140400,510000,SC_CREW,CARRONADE_DAMAGE_M_5,SAILOR,,
SAILOR,18,26,6000,198000,625000,SC_CREW,CARRONADE_DAMAGE_M_5,BOX_RESOURCE_BONUS_M_5,SAILOR,
SAILOR,19,26,6500,162000,660000,SC_CREW,CARRONADE_RANGE_A_1,CARRONADE_SHIP_SLOW_A_10,SAILOR,
SAILOR,20,27,7000,187200,700000,SC_CREW,SAILOR_EVO_4,SAILOR,,
SAILOR,21,29,7500,198000,740000,SC_CREW,SPEED_SHIP_HITPOINTS_M_3,SAILOR,,
SAILOR,22,30,8000,212400,790000,SC_CREW,CARRONADE_TURRET_JAM,CARRONADE_DAMAGE_M_5,SAILOR,
SAILOR,23,31,8500,237600,910000,SC_CREW,CARRONADE_TURRET_JAM_A_10,SAILOR,,
SAILOR,24,31,9000,248400,990000,SC_CREW,NITRO_COOLDOWN_M_10,SAILOR,,
SAILOR,25,32,10000,284400,1040000,SC_CREW,CARRONADE_RANGE_A_1,NITRO_COOLDOWN_M_10,SAILOR,
SAILOR,26,32,11000,320400,1365000,SC_CREW,OVERBOOST_EFFECT_M_10,BOX_RESOURCE_BONUS_M_5,SAILOR,
SAILOR,27,35,12000,370800,1490000,SC_CREW,CARRONADE_DAMAGE_M_5,SAILOR,,
SAILOR,28,35,13000,432000,1615000,SC_CREW,SAILOR_EVO_5,SAILOR,,
SAILOR,29,35,14000,482400,1740000,SC_CREW,CARRONADE_TURRET_JAM_A_10,BOX_RESOURCE_BONUS_M_5,SPEED_SHIP_HITPOINTS_M_4,SAILOR
SAILOR,30,35,15000,604800,1990000,SC_CREW,SHIP_SPEED_M_10,SAILOR,,
FISHERMAN,1,6,30,300,4100,SC_CREW,GRENADE_DAMAGE_M_20,FISHERMAN,,
FISHERMAN,2,6,30,600,6200,SC_CREW,CONTROL_SHIP_HITPOINTS_A_50,BOX_RESOURCE_BONUS_M_5,FISHERMAN,
FISHERMAN,3,6,40,900,8500,SC_CREW,GRENADE_DAMAGE_A_10,GRENADE_DAMAGE_M_5,FISHERMAN,
FISHERMAN,4,7,50,900,20500,SC_CREW,AREA_SLOW_EFFECT_M_10,FREEZE_SLOW_EFFECT_M_5,FISHERMAN,
FISHERMAN,5,8,50,1800,10000,SC_CREW,GRENADE_RANGE_A_1,AREA_SLOW_DURATION_M_10,FISHERMAN,
FISHERMAN,6,8,90,43200,21000,SC_CREW,CONTROL_SHIP_HITPOINTS_A_50,FREEZE_DURATION_M_10,FISHERMAN,
FISHERMAN,7,10,150,1200,27500,SC_CREW,SHIP_HITPOINTS_A_50,FISHERMAN,,
FISHERMAN,8,10,200,36000,100000,SC_CREW,FISHERMAN_EVO_2,FISHERMAN,,
FISHERMAN,9,10,500,43200,47500,SC_CREW,GRENADE_DAMAGE_A_10,GRENADE_DAMAGE_M_5,SLOW_REDUCE_HEALING_M_50,FISHERMAN
FISHERMAN,10,11,600,64800,65000,SC_CREW,CONTROL_SHIP_HITPOINTS_A_50,AREA_SLOW_PROJECTILE_SPEED_M_10,FISHERMAN,
FISHERMAN,11,11,1500,86400,130000,SC_CREW,GRENADE_RANGE_A_1,FREEZE_GUN_COOLDOWN_M_5,FISHERMAN,
FISHERMAN,12,14,3000,93600,155000,SC_CREW,SHIP_SPEED_M_5,FISHERMAN,,
FISHERMAN,13,19,3500,100800,225000,SC_CREW,GRENADE_DAMAGE_A_10,BOX_RESOURCE_BONUS_M_5,FISHERMAN,
FISHERMAN,14,20,4000,129600,275000,SC_CREW,FISHERMAN_EVO_3,FISHERMAN,,
FISHERMAN,15,22,4500,144000,525000,SC_CREW,CONTROL_SHIP_HITPOINTS_M_5,AREA_SLOW_PROJECTILE_SPEED_M_10,FISHERMAN,
FISHERMAN,16,24,5000,158400,545000,SC_CREW,GRENADE_DOT_CHANCE_A_10,FREEZE_GUN_COOLDOWN_M_5,FISHERMAN,
FISHERMAN,17,26,5500,165600,575000,SC_CREW,FREEZE_SLOW_EFFECT_M_5,AREA_SLOW_EFFECT_M_10,FISHERMAN,
FISHERMAN,18,26,6000,172800,605000,SC_CREW,GRENADE_DAMAGE_M_5,FREEZE_DURATION_M_10,BOX_RESOURCE_BONUS_M_5,FISHERMAN
FISHERMAN,19,26,6500,183600,640000,SC_CREW,CONTROL_SHIP_HITPOINTS_M_5,FREEZE_SLOW_EFFECT_M_5,FISHERMAN,
FISHERMAN,20,27,7000,237600,810000,SC_CREW,FISHERMAN_EVO_4,FISHERMAN,,
FISHERMAN,21,29,7500,252000,860000,SC_CREW,FREEZE_SLOW_EFFECT_M_5,FISHERMAN,,
FISHERMAN,22,29,8000,270000,930000,SC_CREW,GRENADE_DOT_CHANCE_A_10,FISHERMAN,,
FISHERMAN,23,31,8500,284400,1010000,SC_CREW,AREA_SLOW_PROJECTILE_SPEED_M_15,BOX_RESOURCE_BONUS_M_5,FISHERMAN,
FISHERMAN,24,31,9000,320400,1160000,SC_CREW,GRENADE_RANGE_A_1,FISHERMAN,,
FISHERMAN,25,33,10000,345600,1260000,SC_CREW,GRENADE_DOT_DAMAGE_M_50,AREA_SLOW_DURATION_M_10,FISHERMAN,
FISHERMAN,26,33,11000,378000,1385000,SC_CREW,AREA_SLOW_PROJECTILE_SPEED_M_15,FISHERMAN,,
FISHERMAN,27,35,12000,432000,1510000,SC_CREW,GRENADE_DAMAGE_M_5,FREEZE_GUN_COOLDOWN_M_5,BOX_RESOURCE_BONUS_M_5,FISHERMAN
FISHERMAN,28,35,13000,486000,1755000,SC_CREW,FISHERMAN_EVO_5,FISHERMAN,,
FISHERMAN,29,35,14000,543600,1900000,SC_CREW,GRENADE_DOT_CHANCE_A_10,FREEZE_SLOW_EFFECT_M_5,FISHERMAN,
FISHERMAN,30,35,15000,604800,2000000,SC_CREW,GRENADE_DOT_DAMAGE_M_50,FISHERMAN,,
MORTARMAN,1,1,20,600,2100,SC_CREW,STANDARD_MORTAR_DAMAGE_M_20,MORTARMAN,,
MORTARMAN,2,4,20,900,4250,SC_CREW,MORTAR_DAMAGE_A_10,MORTARMAN,,
MORTARMAN,3,5,30,1500,8250,SC_CREW,CANNON_SHIP_SPEED_M_5,BOX_RESOURCE_BONUS_M_5,MORTARMAN,
MORTARMAN,4,7,60,2700,10750,SC_CREW,AREA_DAMAGE_M_2,MORTAR_DAMAGE_A_15,MORTARMAN,
MORTARMAN,5,7,80,10800,47250,SC_CREW,LARGE_AREA_MORTAR_DAMAGE_M_10,LONG_RANGE_MORTAR_DAMAGE_M_10,MORTARMAN,
MORTARMAN,6,8,90,14400,30000,SC_CREW,BALLPARK_MORTAR_DAMAGE_M_10,LONG_RANGE_MORTAR_SPEED_M_10,MORTARMAN,
MORTARMAN,7,8,150,21600,85000,SC_CREW,CANNON_SHIP_HITPOINTS_A_50,MORTARMAN,,
MORTARMAN,8,8,200,28800,49000,SC_CREW,MORTAR_DIRECT_HIT_DAMAGE,BOX_RESOURCE_BONUS_M_5,MORTARMAN,
MORTARMAN,9,8,300,64800,90000,SC_CREW,MORTARMAN_EVO_2,MORTARMAN,,
MORTARMAN,10,8,400,86400,69000,SC_CREW,MORTAR_DAMAGE_TO_SLOWED_A_5,STANDARD_MORTAR_COOLDOWN_M_10,MORTARMAN,
MORTARMAN,11,11,1500,93600,105000,SC_CREW,LONG_RANGE_MORTAR_DAMAGE_M_10,LARGE_AREA_MORTAR_DAMAGE_M_10,MORTARMAN,
MORTARMAN,12,15,3000,120960,169000,SC_CREW,BIG_MORTAR_DAMAGE_M_20,MORTARMAN,,
MORTARMAN,13,20,3500,129600,199000,SC_CREW,MORTAR_DAMAGE_TO_SLOWED_A_5,BIG_MORTAR_DAMAGE_M_10,MORTARMAN,
MORTARMAN,14,20,4000,142560,289000,SC_CREW,MORTARMAN_EVO_3,MORTARMAN,,
MORTARMAN,15,22,4500,155520,419000,SC_CREW,BALLPARK_MORTAR_DAMAGE_M_10,MORTAR_DAMAGE_TO_SLOWED_A_5,MORTARMAN,
MORTARMAN,16,24,5000,164160,539000,SC_CREW,MORTAR_DAMAGE_M_5,MORTARMAN,,
MORTARMAN,17,26,5500,172800,589000,SC_CREW,AREA_DAMAGE_M_2,STANDARD_MORTAR_COOLDOWN_M_10,MORTARMAN,
MORTARMAN,18,26,6000,183600,654000,SC_CREW,BIG_MORTAR_DAMAGE_M_10,BOX_RESOURCE_BONUS_M_5,MORTARMAN,
