2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,76,12.8,30,0,0,0,1.5,15,9,0
2,77,12.8,30,0,0,0,1.5,15,9,0
3,78,12.8,30,0,0,0,1.5,15,9,0
4,80,12.8,30,0,0,0,1.5,15,9,0
5,81,12.8,30,0,0,0,1.5,15,9,0
6,82,12.8,30,0,0,0,1.5,15,9,0
7,83,12.8,30,0,0,0,1.5,15,9,0
8,85,12.8,30,0,0,0,1.5,15,9,0
9,86,12.8,30,0,0,0,1.5,15,9,0
10,87,12.8,30,0,0,0,1.5,15,9,0
11,88,12.8,30,0,0,0,1.5,15,9,0
12,89,12.8,30,0,0,0,1.5,15,9,0
13,90,12.8,30,0,0,0,1.5,15,9,0
14,91,12.8,30,0,0,0,1.5,15,9,0
15,92,12.8,30,0,0,0,1.5,15,9,0
16,94,12.8,30,0,0,0,1.5,15,9,0
17,95,12.8,30,0,0,0,1.5,15,9,0
18,96,12.8,30,0,0,0,1.5,15,9,0
19,97,12.8,30,0,0,0,1.5,15,9,0
20,98,12.8,30,0,0,0,1.5,15,9,0
21,99,12.8,30,0,0,0,1.5,15,9,0
22,100,12.8,30,0,0,0,1.5,15,9,0
23,101,12.8,30,0,0,0,1.5,15,9,0
24,103,12.8,30,0,0,0,1.5,15,9,0
25,104,12.8,30,0,0,0,1.5,15,9,0
26,105,12.8,30,0,0,0,1.5,15,9,0
27,106,12.8,30,0,0,0,1.5,15,9,0
28,108,12.8,30,0,0,0,1.5,15,9,0
29,109,12.8,30,0,0,0,1.5,15,9,0
30,110,12.8,30,0,0,0,1.5,15,9,0
31,111,12.8,30,0,0,0,1.5,15,9,0
32,112,12.8,30,0,0,0,1.5,15,9,0
33,113,12.8,30,0,0,0,1.5,15,9,0
34,114,12.8,30,0,0,0,1.5,15,9,0
35,115,12.8,30,0,0,0,1.5,15,9,0
36,117,12.8,30,0,0,0,1.5,15,9,0
37,118,12.8,30,0,0,0,1.5,15,9,0
38,119,12.8,30,0,0,0,1.5,15,9,0
39,120,12.8,30,0,0,0,1.5,15,9,0
40,121,12.8,30,0,0,0,1.5,15,9,0
41,122,12.8,30,0,0,0,1.5,15,9,0
42,123,12.8,30,0,0,0,1.5,15,9,0
43,125,12.8,30,0,0,0,1.5,15,9,0
44,126,12.8,30,0,0,0,1.5,15,9,0
45,127,12.8,30,0,0,0,1.5,15,9,0
46,129,12.8,30,0,0,0,1.5,15,9,0
47,130,12.8,30,0,0,0,1.5,15,9,0
48,131,12.8,30,0,0,0,1.5,15,9,0
49,133,12.8,30,0,0,0,1.5,15,9,0
50,134,12.8,30,0,0,0,1.5,15,9,0
