2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,165,12.8,30,0,0,0,1.5,15,9,0
2,166,12.8,30,0,0,0,1.5,15,9,0
3,168,12.8,30,0,0,0,1.5,15,9,0
4,169,12.8,30,0,0,0,1.5,15,9,0
5,171,12.8,30,0,0,0,1.5,15,9,0
6,172,12.8,30,0,0,0,1.5,15,9,0
7,174,12.8,30,0,0,0,1.5,15,9,0
8,175,12.8,30,0,0,0,1.5,15,9,0
9,177,12.8,30,0,0,0,1.5,15,9,0
10,178,12.8,30,0,0,0,1.5,15,9,0
11,179,12.8,30,0,0,0,1.5,15,9,0
12,180,12.8,30,0,0,0,1.5,15,9,0
13,182,12.8,30,0,0,0,1.5,15,9,0
14,183,12.8,30,0,0,0,1.5,15,9,0
15,185,12.8,30,0,0,0,1.5,15,9,0
16,186,12.8,30,0,0,0,1.5,15,9,0
17,188,12.8,30,0,0,0,1.5,15,9,0
18,189,12.8,30,0,0,0,1.5,15,9,0
19,191,12.8,30,0,0,0,1.5,15,9,0
20,192,12.8,30,0,0,0,1.5,15,9,0
21,193,12.8,30,0,0,0,1.5,15,9,0
22,195,12.8,30,0,0,0,1.5,15,9,0
23,196,12.8,30,0,0,0,1.5,15,9,0
24,198,12.8,30,0,0,0,1.5,15,9,0
25,199,12.8,30,0,0,0,1.5,15,9,0
26,201,12.8,30,0,0,0,1.5,15,9,0
27,202,12.8,30,0,0,0,1.5,15,9,0
28,204,12.8,30,0,0,0,1.5,15,9,0
29,205,12.8,30,0,0,0,1.5,15,9,0
30,207,12.8,30,0,0,0,1.5,15,9,0
31,208,12.8,30,0,0,0,1.5,15,9,0
32,209,12.8,30,0,0,0,1.5,15,9,0
33,211,12.8,30,0,0,0,1.5,15,9,0
34,212,12.8,30,0,0,0,1.5,15,9,0
35,214,12.8,30,0,0,0,1.5,15,9,0
36,215,12.8,30,0,0,0,1.5,15,9,0
37,217,12.8,30,0,0,0,1.5,15,9,0
38,218,12.8,30,0,0,0,1.5,15,9,0
39,220,12.8,30,0,0,0,1.5,15,9,0
40,221,12.8,30,0,0,0,1.5,15,9,0
41,222,12.8,30,0,0,0,1.5,15,9,0
42,224,12.8,30,0,0,0,1.5,15,9,0
43,226,12.8,30,0,0,0,1.5,15,9,0
44,227,12.8,30,0,0,0,1.5,15,9,0
45,229,12.8,30,0,0,0,1.5,15,9,0
46,231,12.8,30,0,0,0,1.5,15,9,0
47,233,12.8,30,0,0,0,1.5,15,9,0
48,234,12.8,30,0,0,0,1.5,15,9,0
49,236,12.8,30,0,0,0,1.5,15,9,0
50,238,12.8,30,0,0,0,1.5,15,9,0
