31
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,DAMAGE
2,3,RANGE
3,10,DAMAGE
4,0.1,PROJECTILE_SPEED
5,0.05,FIRE_DAMAGE
6,0.05,DAMAGE
7,0.02,DAMAGE
8,0.05,DAMAGE
9,0.05,RANGE
10,0.05,FIRE_DAMAGE
11,0.05,DAMAGE
12,0.1,PROJECTILE_SPEED
13,0.1,DAMAGE
14,0.05,FIRE_DAMAGE
15,0.05,DAMAGE
16,0.02,DAMAGE
17,0.05,DAMAGE
18,0.05,RANGE
19,0.02,DAMAGE
20,0.1,PROJECTILE_SPEED
21,0.02,DAMAGE
22,0.1,DAMAGE
23,0.02,DAMAGE
24,0.1,FIRE_DAMAGE
25,0.02,DAMAGE
26,10,DAMAGE
27,0.02,DAMAGE
28,0.1,DAMAGE
29,0.05,DAMAGE
30,0.1,PROJECTILE_SPEED
31,0.1,DAMAGE
