ID,IDText,Name,Category,Description,Icon,CrewIcon,SlotCategory,SlotCost,TalentRequirements,Tier,Rarity,Evolution,PerkSlots,BuyCurrency,BuyPrice,SellPrice,SalvageOutput,ValueName,ValueIcon,ValueBase,ValueMax,ValueGroupMax,ValueGroupMaxItem,ItemEvoPath,TruncateToInteger,CurveID,LevelCostID,Type,TypeID,Prefab,ShowInPerkInfo,LevelOffset,PowerLevelBase,PowerLevelMax,DamageAchievement,ObsoleteItem,,,,
0,V1_UNKNOWN_ITEM_R1_E1,ITEM,UNKNOWN,UNKNOWN_ITEM,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,1,1,1,0,SC_ITEM,2480,1250,,TEXT_DAMAGE,stats/stat_damage,0,0,0,CANNON_R1_E3,,-1,DEFAULT_XP_R1_E1,,SKILL,CANNON_SKILL,,0,,100,127,,,,,,
1,V1_CANNON_R1_E1,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,1,1,1,0,SC_ITEM,2480,1250,,TEXT_DAMAGE,stats/stat_damage,50,70,110,V1_CANNON_R1_E3,,-1,DEFAULT_XP_R1_E1,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,100,127,,,,,,
2,V1_CANNON_R1_E2,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,2,1,2,0,SC_ITEM,19800,7500,,TEXT_DAMAGE,stats/stat_damage,70,90,110,V1_CANNON_R1_E3,,-1,DEFAULT_XP_R1_E2,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,136,163,,,,,,
3,V1_CANNON_R1_E3,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,1,3,0,SC_ITEM,99000,30000,,TEXT_DAMAGE,stats/stat_damage,90,110,110,V1_CANNON_R1_E3,,-1,DEFAULT_XP_R1_E3,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,168,195,,,,,,
4,V1_CANNON_R2_E1,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,2,2,1,0,SC_ITEM,23270,11750,,TEXT_DAMAGE,stats/stat_damage,57,81,176,V1_CANNON_R2_E3,,-1,DEFAULT_XP_R2_E1,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,120,183,,,,,,
5,V1_CANNON_R2_E2,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,2,2,1,SC_ITEM,139590,58750,,TEXT_DAMAGE,stats/stat_damage,81,114,176,V1_CANNON_R2_E3,,-1,DEFAULT_XP_R2_E2,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,192,255,,,,,,
6,V1_CANNON_R2_E3,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,2,3,2,SC_ITEM,558360,211500,,TEXT_DAMAGE,stats/stat_damage,114,176,176,V1_CANNON_R2_E3,,-1,DEFAULT_XP_R2_E3,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,258,321,,,,,,
7,V1_CANNON_R3_E1,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,3,1,1,SC_ITEM,319770,140000,,TEXT_DAMAGE,stats/stat_damage,72,114,238,V1_CANNON_R3_E3,,-1,DEFAULT_XP_R3_E1,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,144,234,,,,,,
8,V1_CANNON_R3_E2,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,3,2,2,SC_ITEM,959310,403750,,TEXT_DAMAGE,stats/stat_damage,114,166,238,V1_CANNON_R3_E3,,-1,DEFAULT_XP_R3_E2,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,249,339,,,,,,
9,V1_CANNON_R3_E3,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,3,3,3,SC_ITEM,1918620,799430,,TEXT_DAMAGE,stats/stat_damage,166,238,238,V1_CANNON_R3_E3,,-1,DEFAULT_XP_R3_E3,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,343,433,,,,,,
